時刻,温度,湿度,CO2濃度
2026-01-15 05:20:00,21.3,57.8,770
2026-01-15 05:25:00,21.1,58.2,792
2026-01-15 05:30:00,20.8,58.6,812
2026-01-15 05:35:00,20.6,59.0,830
2026-01-15 05:40:00,20.4,59.3,845
2026-01-15 05:45:00,20.2,59.6,858
2026-01-15 05:50:00,20.1,59.8,868
2026-01-15 05:55:00,20.0,60.0,875
2026-01-15 06:00:00,19.9,60.1,880
2026-01-15 06:05:00,19.9,60.2,882
2026-01-15 06:10:00,19.9,60.2,882
2026-01-15 06:15:00,19.9,60.1,880
2026-01-15 06:20:00,20.0,60.0,875
2026-01-15 06:25:00,20.1,59.8,868
2026-01-15 06:30:00,20.2,59.5,858
2026-01-15 06:35:00,20.4,59.2,845
2026-01-15 06:40:00,20.6,58.8,830
2026-01-15 06:45:00,20.8,58.4,812
2026-01-15 06:50:00,21.1,58.0,792
2026-01-15 06:55:00,21.4,57.5,770
2026-01-15 07:00:00,21.7,57.0,748
2026-01-15 07:05:00,22.0,56.5,725
2026-01-15 07:10:00,22.3,56.0,702
2026-01-15 07:15:00,22.6,55.5,680
2026-01-15 07:20:00,22.9,55.0,658
2026-01-15 07:25:00,23.2,54.5,638
2026-01-15 07:30:00,23.5,54.0,618
2026-01-15 07:35:00,23.8,53.6,600
2026-01-15 07:40:00,24.1,53.2,585
2026-01-15 07:45:00,24.4,52.8,570
2026-01-15 07:50:00,24.6,52.5,558
2026-01-15 07:55:00,24.8,52.2,548
2026-01-15 08:00:00,25.0,52.0,540
2026-01-15 08:05:00,25.2,51.8,535
2026-01-15 08:10:00,25.3,51.6,530
2026-01-15 08:15:00,25.4,51.5,528
2026-01-15 08:20:00,25.5,51.4,526
2026-01-15 08:25:00,25.5,51.4,525
2026-01-15 08:30:00,25.5,51.4,525
2026-01-15 08:35:00,25.5,51.4,526
2026-01-15 08:40:00,25.4,51.5,528
2026-01-15 08:45:00,25.3,51.6,532
2026-01-15 08:50:00,25.2,51.8,538
2026-01-15 08:55:00,25.0,52.0,545
2026-01-15 09:00:00,24.8,52.3,555
2026-01-15 09:05:00,24.5,52.6,568
2026-01-15 09:10:00,24.2,53.0,582
2026-01-15 09:15:00,23.9,53.5,598
2026-01-15 09:20:00,23.6,54.0,618
2026-01-15 09:25:00,23.2,54.5,640
2026-01-15 09:30:00,22.9,55.0,662
2026-01-15 09:35:00,22.5,55.6,688
2026-01-15 09:40:00,22.2,56.1,715
2026-01-15 09:45:00,21.8,56.7,742
2026-01-15 09:50:00,21.5,57.2,770
2026-01-15 09:55:00,21.2,57.7,798
2026-01-15 10:00:00,20.9,58.2,825
2026-01-15 10:05:00,20.6,58.6,850
2026-01-15 10:10:00,20.4,59.0,872
2026-01-15 10:15:00,20.2,59.4,892
2026-01-15 10:20:00,20.0,59.7,908
2026-01-15 10:25:00,19.9,59.9,920
2026-01-15 10:30:00,19.8,60.1,928
2026-01-15 10:35:00,19.7,60.2,932
2026-01-15 10:40:00,19.7,60.3,933
2026-01-15 10:45:00,19.7,60.3,932
2026-01-15 10:50:00,19.8,60.2,928
2026-01-15 10:55:00,19.9,60.1,920
2026-01-15 11:00:00,20.0,59.9,910
2026-01-15 11:05:00,20.2,59.6,898
2026-01-15 11:10:00,20.4,59.3,882
2026-01-15 11:15:00,20.7,58.9,865
2026-01-15 11:20:00,21.0,58.5,845
2026-01-15 11:25:00,21.3,58.0,822
2026-01-15 11:30:00,21.6,57.5,798
2026-01-15 11:35:00,22.0,57.0,772
2026-01-15 11:40:00,22.3,56.5,745
2026-01-15 11:45:00,22.7,56.0,718
2026-01-15 11:50:00,23.0,55.5,692
2026-01-15 11:55:00,23.4,55.0,668
